Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Sitting,1,1,1,1,1,1,1,0.8128772635814889,0.8128772635814889,0.8128772635814889,10201,split
Supine,1,1,1,1,1,1,1,0.05432595573440644,0.05432595573440644,0.05432595573440644,10201,split
Upright,0.9708071278825996,0.95,0.9916142557651991,0.8260869565217391,0.9978902953586498,0.8837209302325583,0.8784900493863386,0.04024144869215292,0.03822937625754527,0.04627766599597585,10201,split
Held,0.6388888888888888,0.2777777777777778,1,1,0.9414414414414415,0.4347826086956522,0.41460027772267355,0.07929515418502203,0.022026431718061675,0.022026431718061675,10203,split
Prone,0.9685093212409127,0.9393939393939394,0.997624703087886,0.96875,0.995260663507109,0.9538461538461539,0.9502883422147599,0.07268722466960352,0.06828193832599119,0.07048458149779736,10203,split
Sitting,0.964941618259696,0.9878542510121457,0.9420289855072463,0.953125,0.9848484848484849,0.970178926441352,0.9331684625802272,0.5440528634361234,0.5374449339207048,0.5638766519823789,10203,split
Supine,0.9547448165869219,0.9166666666666666,0.992822966507177,0.9166666666666666,0.992822966507177,0.9166666666666666,0.9094896331738437,0.07929515418502203,0.07268722466960352,0.07929515418502203,10203,split
Upright,0.9744318181818181,1,0.9488636363636364,0.85,1,0.9189189189189189,0.8929076898883472,0.22466960352422907,0.22466960352422907,0.2643171806167401,10203,split
Held,0.9939271255060729,1,0.9878542510121457,0.9,1,0.9473684210526316,0.9412773253321907,0.09854014598540146,0.09854014598540146,0.10948905109489052,10204,split
Prone,0.7461240310077519,0.5,0.9922480620155039,0.8,0.9696969696969697,0.6153846153846154,0.5972957084068194,0.058394160583941604,0.029197080291970802,0.0364963503649635,10204,split
Sitting,0.8634320175438597,0.7456140350877193,0.98125,0.9659090909090909,0.8440860215053764,0.8415841584158417,0.7515020972678835,0.41605839416058393,0.3102189781021898,0.32116788321167883,10204,split
Supine,0.96,0.92,1,1,0.9920318725099602,0.9583333333333334,0.9543409431761367,0.09124087591240876,0.08394160583941605,0.08394160583941605,10204,split
Upright,0.8821070234113713,0.9565217391304348,0.8076923076923077,0.7154471544715447,0.9735099337748344,0.8186046511627906,0.705441314295165,0.3357664233576642,0.32116788321167883,0.4489051094890511,10204,split
Held,0.9603174603174602,1,0.9206349206349206,0.9006622516556292,1,0.9477351916376306,0.9066145623814722,0.41846153846153844,0.41846153846153844,0.4646153846153846,10301,split
Prone,1,1,1,1,1,1,1,0.024615384615384615,0.024615384615384615,0.024615384615384615,10301,split
Sitting,1,1,1,1,1,1,1,0.4307692307692308,0.4307692307692308,0.4307692307692308,10301,split
Supine,0.9193548387096775,0.8387096774193549,1,1,0.9832775919732442,0.9122807017543859,0.9039200614911603,0.09538461538461539,0.08,0.08,10301,split
Upright,0.5,0,1,NA,0.9692307692307692,NA,0,0.03076923076923077,0,0,10301,split
Held,0.967741935483871,0.9354838709677419,1,1,0.994535519125683,0.9666666666666666,0.963930234681764,0.07848101265822785,0.07341772151898734,0.07341772151898734,10401,split
Prone,1,1,1,1,1,1,1,0.10379746835443038,0.10379746835443038,0.10379746835443038,10401,split
Sitting,0.9977578475336323,0.9955156950672646,1,1,0.9942196531791907,0.9977528089887641,0.9948542917811967,0.5645569620253165,0.5620253164556962,0.5620253164556962,10401,split
Supine,0.9983660130718954,1,0.9967320261437909,0.9888888888888889,1,0.9944134078212291,0.9927768126542927,0.22531645569620254,0.22531645569620254,0.22784810126582278,10401,split
Upright,0.9973958333333333,1,0.9947916666666666,0.8461538461538461,1,0.9166666666666666,0.9140743963454441,0.027848101265822784,0.027848101265822784,0.03291139240506329,10401,split
Held,0.9885496183206106,1,0.9770992366412213,0.90625,1,0.9508196721311475,0.939271255060729,0.18125,0.18125,0.2,10501,split
Prone,1,1,1,1,1,1,1,0.3125,0.3125,0.3125,10501,split
Sitting,0.9956896551724138,1,0.9913793103448276,0.9777777777777777,1,0.9887640449438202,0.9844357976653697,0.275,0.275,0.28125,10501,split
Supine,0.9772727272727273,0.9545454545454546,1,1,0.9928057553956835,0.9767441860465117,0.9731363331094696,0.1375,0.13125,0.13125,10501,split
Upright,0.9,0.8,1,1,0.9797297297297297,0.888888888888889,0.8787878787878785,0.09375,0.075,0.075,10501,split
