names,left_ankle_only,right_ankle_only,left_hip_only,right_hip_only,left_side,right_side,ankles,hips
ABSCORR_lagyr_x_lhgyr_x,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABSCORR_lagyr_x_rhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_ragyr_x_lhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_ragyr_x_rhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ABSCORR_lhgyr_x_rhgyr_x,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ABSCORR_lagyr_y_ragyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ABSCORR_lagyr_y_lhgyr_y,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABSCORR_lagyr_y_rhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_ragyr_y_lhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_ragyr_y_rhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ABSCORR_lhgyr_y_rhgyr_y,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ABSCORR_lagyr_z_ragyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ABSCORR_lagyr_z_lhgyr_z,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ABSCORR_lagyr_z_rhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_ragyr_z_lhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABSCORR_ragyr_z_rhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ABSCORR_lhgyr_z_rhgyr_z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
DIFF12_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF13_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF14_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF23_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF24_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF34_xacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF12_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF13_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF14_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF23_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF24_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF34_yacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF12_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF13_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF14_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF23_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF24_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF34_zacc,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF12_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF13_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF14_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF23_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF24_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF34_xgyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF12_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIFF13_ygyr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
