Class,Balanced Accuracy,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,F1,Kappa,Prevalence,Detection Rate,Detection Prevalence,id,model
Held,1,1,1,1,1,1,1,0.08314087759815242,0.08314087759815242,0.08314087759815242,9911,split
Prone,0.9644125175460325,0.9696969696969697,0.9591280653950953,0.810126582278481,0.9943502824858758,0.8827586206896552,0.8594075290792063,0.15242494226327943,0.14780600461893764,0.18244803695150116,9911,split
Sitting,0.8625906956892873,0.9342723004694836,0.7909090909090909,0.8122448979591836,0.925531914893617,0.868995633187773,0.7234522694371115,0.49191685912240185,0.45958429561200925,0.5658198614318707,9911,split
Supine,0.609126373062314,0.2549019607843137,0.9633507853403142,0.48148148148148145,0.9064039408866995,0.3333333333333333,0.27414571244358543,0.11778290993071594,0.03002309468822171,0.06235565819861432,9911,split
Upright,0.8256259685180654,0.6567164179104478,0.994535519125683,0.9565217391304348,0.9405684754521964,0.7787610619469028,0.7468724424178651,0.15473441108545036,0.10161662817551963,0.10623556581986143,9911,split
Held,0.9762200956937799,0.9545454545454546,0.9978947368421053,0.9545454545454546,0.9978947368421053,0.9545454545454546,0.9524401913875594,0.04426559356136821,0.04225352112676056,0.04426559356136821,10201,split
Prone,0.9781095842142353,0.9583333333333334,0.9978858350951374,0.9583333333333334,0.9978858350951374,0.9583333333333334,0.9562191684284704,0.0482897384305835,0.04627766599597585,0.0482897384305835,10201,split
Sitting,1,1,1,1,1,1,1,0.8128772635814889,0.8128772635814889,0.8128772635814889,10201,split
Supine,1,1,1,1,1,1,1,0.05432595573440644,0.05432595573440644,0.05432595573440644,10201,split
Upright,0.9739517819706498,0.95,0.9979035639412998,0.95,0.9979035639412998,0.9500000000000001,0.9479035639412995,0.04024144869215292,0.03822937625754527,0.04024144869215292,10201,split
Held,0.6527777777777778,0.3055555555555556,1,1,0.9435665914221218,0.46808510638297873,0.44758103767156593,0.07929515418502203,0.024229074889867842,0.024229074889867842,10203,split
Prone,0.9673216727848557,0.9393939393939394,0.995249406175772,0.9393939393939394,0.995249406175772,0.9393939393939394,0.9346433455697108,0.07268722466960352,0.06828193832599119,0.07268722466960352,10203,split
Sitting,0.9786520370044398,0.9959514170040485,0.961352657004831,0.968503937007874,0.995,0.9820359281437125,0.9599325344682186,0.5440528634361234,0.5418502202643172,0.5594713656387665,10203,split
Supine,0.9988038277511961,1,0.9976076555023924,0.972972972972973,1,0.9863013698630138,0.9851040094494395,0.07929515418502203,0.07929515418502203,0.08149779735682819,10203,split
Upright,0.9758522727272727,1,0.9517045454545454,0.8571428571428571,1,0.923076923076923,0.8985248100134107,0.22466960352422907,0.22466960352422907,0.2621145374449339,10203,split
Held,0.8602489128804918,0.7407407407407407,0.979757085020243,0.8,0.9718875502008032,0.7692307692307692,0.745076756086215,0.09854014598540146,0.072992700729927,0.09124087591240876,10204,split
Prone,0.8066860465116279,0.625,0.9883720930232558,0.7692307692307693,0.9770114942528736,0.6896551724137931,0.672509960159362,0.058394160583941604,0.0364963503649635,0.04744525547445255,10204,split
Sitting,0.7236842105263158,0.4473684210526316,1,1,0.7174887892376681,0.6181818181818182,0.4859746292656782,0.41605839416058393,0.18613138686131386,0.18613138686131386,10204,split
Supine,0.94,0.88,1,1,0.9880952380952381,0.9361702127659575,0.9302088639836982,0.09124087591240876,0.08029197080291971,0.08029197080291971,10204,split
Upright,0.804945054945055,1,0.6098901098901099,0.5644171779141104,1,0.7215686274509804,0.5121620943878831,0.3357664233576642,0.3357664233576642,0.5948905109489051,10204,split
Held,0.9761904761904762,1,0.9523809523809523,0.9379310344827586,1,0.9679715302491103,0.9436253252385083,0.41846153846153844,0.41846153846153844,0.4461538461538462,10301,split
Prone,1,1,1,1,1,1,1,0.024615384615384615,0.024615384615384615,0.024615384615384615,10301,split
Sitting,1,1,1,1,1,1,1,0.4307692307692308,0.4307692307692308,0.4307692307692308,10301,split
