id,.metric,.estimator,.estimate
11103,sens,macro,0.9917680927980426
11104,sens,macro,0.9047646555412924
11202,sens,macro,0.9091570881226053
11501,sens,macro,0.9700189753320683
11601,sens,macro,0.8849431818181819
11901,sens,macro,0.9839863184079602
12001,sens,macro,0.9467047424783275
12002,sens,macro,0.8795159386068476
12101,sens,macro,0.8820778680532988
12302,sens,macro,0.9935483870967741
12501,sens,macro,0.9720402785620177
12502,sens,macro,0.9877171478347436
13001,sens,macro,0.9855981416957027
9908,spec,macro,0.9965001651868015
9909,spec,macro,0.9671411939559464
9910,spec,macro,0.9875679759901527
9911,spec,macro,0.9781354159846591
10201,spec,macro,0.9991752577319588
10203,spec,macro,0.9943961733788838
10204,spec,macro,0.9865501945851841
10301,spec,macro,0.9930704508019943
10401,spec,macro,0.9975546398832518
10501,spec,macro,1
10601,spec,macro,0.9979750440207822
10701,spec,macro,0.9955077881619938
10702,spec,macro,0.9995689655172414
10703,spec,macro,0.9990841395664996
10704,spec,macro,0.994168864118073
10802,spec,macro,0.9814798337265476
10901,spec,macro,0.995753566066066
11001,spec,macro,0.9988100179881002
11002,spec,macro,0.996953680318692
11004,spec,macro,0.997480275317546
11102,spec,macro,0.9918096355533967
11103,spec,macro,0.9976199035377631
11104,spec,macro,0.9753918716210358
11202,spec,macro,0.9755213867941692
11501,spec,macro,0.990909090909091
11601,spec,macro,0.9660939112487101
11901,spec,macro,0.9946655746655746
12001,spec,macro,0.9829202479217678
12002,spec,macro,0.9951732673267327
12101,spec,macro,0.991234598730635
12302,spec,macro,0.9980239059186429
12501,spec,macro,0.9934545022570682
12502,spec,macro,0.9979234492914164
13001,spec,macro,0.9961925287356321
