id,.metric,.estimator,.estimate,.config
Resample30,accuracy,multiclass,0.8184227965540093,Preprocessor1_Model1
Resample30,kap,multiclass,0.5032027135653033,Preprocessor1_Model1
Resample30,bal_accuracy,macro,NA,Preprocessor1_Model1
Resample30,f_meas,macro,0.6448841273457695,Preprocessor1_Model1
Resample30,ppv,macro,NA,Preprocessor1_Model1
Resample30,sens,macro,0.6088945909073684,Preprocessor1_Model1
Resample30,spec,macro,0.8811496508344865,Preprocessor1_Model1
Resample31,accuracy,multiclass,0.965482233502538,Preprocessor1_Model1
Resample31,kap,multiclass,0.9505359954390908,Preprocessor1_Model1
Resample31,bal_accuracy,macro,0.9555061984265653,Preprocessor1_Model1
Resample31,f_meas,macro,0.9117618173448256,Preprocessor1_Model1
Resample31,ppv,macro,0.9128025314385073,Preprocessor1_Model1
Resample31,sens,macro,0.9190732994264416,Preprocessor1_Model1
Resample31,spec,macro,0.9919390974266891,Preprocessor1_Model1
Resample32,accuracy,multiclass,0.9688552188552189,Preprocessor1_Model1
Resample32,kap,multiclass,0.9260235379651929,Preprocessor1_Model1
Resample32,bal_accuracy,macro,0.9619518323249879,Preprocessor1_Model1
Resample32,f_meas,macro,0.8741966731874432,Preprocessor1_Model1
Resample32,ppv,macro,0.8500196325611196,Preprocessor1_Model1
Resample32,sens,macro,0.9303422691091654,Preprocessor1_Model1
Resample32,spec,macro,0.9935613955408105,Preprocessor1_Model1
Resample33,accuracy,multiclass,0.43130724396336384,Preprocessor1_Model1
Resample33,kap,multiclass,0.28391333801248,Preprocessor1_Model1
Resample33,bal_accuracy,macro,0.8180802095385764,Preprocessor1_Model1
Resample33,f_meas,macro,0.6855986356563093,Preprocessor1_Model1
Resample33,ppv,macro,0.7463814549935728,Preprocessor1_Model1
Resample33,sens,macro,0.7856661128407214,Preprocessor1_Model1
Resample33,spec,macro,0.8504943062364316,Preprocessor1_Model1
Resample34,accuracy,multiclass,0.9648910411622276,Preprocessor1_Model1
Resample34,kap,multiclass,0.9486818856418433,Preprocessor1_Model1
Resample34,bal_accuracy,macro,0.943528244543489,Preprocessor1_Model1
Resample34,f_meas,macro,0.8991545426090164,Preprocessor1_Model1
Resample34,ppv,macro,0.9258085486972226,Preprocessor1_Model1
Resample34,sens,macro,0.8952879828224913,Preprocessor1_Model1
Resample34,spec,macro,0.9917685062644869,Preprocessor1_Model1
